id,smiles,concentration,shifts/heights
FS-2497-01-G07,FC2(=C1(NC(C(=O)O)=CC1=CC=C2)),173.1832155,-133.22548184528458,1
FS-1975-01-G08,FC(F)OC1(=CC(C(=O)C)=CC=C1),13.06216124,-81.92065738251142,1
FS-2306-01-G09,FC2(=C(N1(C(=O)CC(C1)N))C=CC=C2),74.06596135,-121.00987821659521,1
DA-0856-01-G10,FC(F)(F)C2(=CC=C(C1(=NNC(=C1)N))C=C2),142.8499865375561,-60.624868352323354,1
2X-0834-01-G11,OC(=O)C1=C(NN=C1)C(F)(F)F,97.2935457,-60.665738071351626,1
3J-324S-01-G12,CC(NC(=O)C1=C(F)C=CC=C1)C1=NC2=CC=CC=C2N1,166.6376631,-114.7781345369365,1
PS-7932-01-H02,FC2(=CC(C1(=C(C(=O)O)C=CC=C1))=CC=C2),78.33928841833738,-113.98739432095473,1
TS-03113-01-H03,FC(F)(F)C1(=CC=C(C(CN)(C)C)C=C1),13.00902405,-62.101509070257876,1
PS-6446-01-H06,FC1(=CC(=CC=C1)CCC(=O)O),86.78649839485672,-114.19707374901283,1
FS-2594-01-H09,FC2(=CC1(=C(OC(C(=O)O)CC1)C=C2)),116.93450790229673,-124.31677156927408,1
3Y-0812-01-H10,CC1=NN2C=NN=C2C(C)=C1CC1=C(Cl)C=CC=C1F,98.80541407701355,-111.5360996514112,1
11W-0200-01-H11,FC(F)(F)C1=CC2=C(C=C1)N1CCCC1C(=O)N2,67.66638104968129,-60.65329946121259,1,-60.68972681947692,1,-119.569664856925,1
AS-5627-01-H12,CC1=C(Br)C(=NN1)C(F)(F)F,76.71998046857775,-62.21256808935644,1
9H-028-02-A01,FC(F)(F)C1=CN=C2C(ON=C2C2=CN=CC=C2)=C1,89.81547131,-61.170390254135505,1
1N-029-02-A02,FC2(=CC=C(C1(C(C(=O)C)C1))C=C2),35.64183673,-116.64214911348682,1
9M-351S-02-A03,CC1=C(N2C=CC=CC2=N1)C(=O)NC1=CC=C(F)C=C1,88.28261764,-116.56396356404144,1
9R-0045-02-A04,FC3(=CC=C(C2(=C(N1(N=C(C)C=C1N=C2))N))C=C3),108.10798521638377,-114.29036332505562,1
TS-02592-02-A06,FC(F)(F)C2(=C1(C(NN=C1)=CC=C2)),78.78221323119958,-61.306326493512145,1
2W-0359-02-B01,FC2(=CC=C(N1(NC(C)=C(C1=O)CCO))C=C2),83.73176891,-115.82120084431024,1
5N-805-02-B02,FC1=C(CN2C=NC3=C(C=CS3)C2=O)C=CC=C1,102.143056,-118.03971580982316,1
1R-0662-02-B03,FC1(=C(C=CC=C1)CC2(N3(CCC(C2=O)CC3))),109.55626609012815,-118.39599314309137,1
11T-0672-02-B04,FC1=CC=C(C=C1)C1=CC=NN1C1=CC=CC=C1,95.74014122132498,-112.97187065031744,1
PS-6867-02-B05,FC1(=C(C(F)=CC(=C1)O)C(=O)O),90.49768992,-114.38987220616792,1
AS-8269-02-B06,Fc1ccc(cc1)-n1cn[nH]c1=O,110.27178011335349,-112.72576386399503,1
PS-6513-02-B07,FC=2(C1(=NC=CC=C1C=CC=2)),50.49726592,-127.57835284216074,1
PS-8688-02-B08,FC1(=C(OC)C=C(OC)C(=C1)N),87.29947815477844,-144.12614668784695,1
PS-8613-02-B11,ClC1(=C(C(F)=C(C)C=C1)CO),74.10697601,-118.98505018039016,1
BH-0441-02-B12,FC1(=C(C=CC(=C1)C(=O)O)C),122.4187575,-118.03882733767038,1
10L-769-02-C01,CC1(C)CN(C1=O)C1=CC=C(F)C=C1,68.83218174,-117.57149098530361,1
5N-373S-02-C02,FC(F)(F)C1(=C(C#N)C(O)=NC(=C1)C(C)(C)C),102.6872011,-64.25072320785331,1
2R-0679-02-C03,ClC2(=NN1(C(=NN=C1C(F)F)C=C2)),92.51327623769508,-121.1946804243752,1
8T-0292-02-C04,S(=O)(=O)(N2(N=C(C1(CC1))C=C2))C3(=CC=C(F)C=C3),101.0837668,-101.46793321601167,1
EG-0028-02-C12,FC1(=C(C#N)C(O)=CC=C1),88.84263347397507,-108.61302626873697,1
1N-002-02-D02,FC1=C(C=CC=C1)N1C=CC=C1C#N,80.1450378,-124.39673406302505,1
3R-0710-02-D03,FC(F)(F)C1=CC(CN2CCS(=O)(=O)CC2)=CC=C1,109.13340048868253,-62.14149031713336,1
HR-0325-02-D05,CC1=C(CO)C=NN1C1=CC=C(F)C=C1,105.01626897059174,-113.11136077830524,1
4M-917-02-E01,FC2(=CC=C(CN1(C(=O)CCC(=C1C)C#N))C=C2),106.680234,-115.75190001639272,1
AS-8464-02-D06,Fc1ccc2cn[nH]c2c1,178.55541878101897,-60.88163680447924,1
PS-8768-02-D07,ClC1(=C(O)C(F)=CC=C1C),38.31105730273186,-119.632746379773,1
FS-2120-02-D09,S(=O)(=O)(N)C1(=CC(F)=C(C)C=C1),53.33130350566477,-109.59478799756828,1
FG-0475-02-D12,FC1(=C(N=CC=C1)C#N),118.594248,-108.61302626873697,1
PS-9056-02-E05,FC1(=CC=C(C(=O)O)C=C1),98.29985549,-110.1509715652139,1
PS-8873-02-E08,FC1(=CC=C(C(O)(C)C)C=C1),17.03883362,-117.06506185821416,1
PS-7894-02-E09,[Br]C1(=C(F)C=CC=C1C(=O)O),106.10911322600043,-106.54644004135086,1
PS-8643-02-E10,ClC1(=C(F)C=CC(=C1)C(=O)N),100.7266866,-110.37486654771659,1
FS-1183-02-E11,FC2(=CC1(=C(OC(C)CC1=O)C=C2)),74.16396585117597,-121.86636537188333,1
FS-1064-02-E12,S1(C2(=C(C(=O)CC1)C=C(F)C=C2)),88.37769900686708,-117.03396533286656,1
